"" "depths" "age" "sd" "offset" "N_offset" "info_pct"
Sim01_40 16.125 64.0172199873026 4.14900215583973 64.9526510663735 31.5966377237856 40
Sim02_40 8.16666666666667 95.7236254779778 4.96522232362907 33.8642831755867 8.15587962577891 40
Sim01_40 5 8.85714285714286 53.7955455145241 4.11608314636652 36.7462264607007 42.9716771431538
Sim02_40 4.5 9.66666666666667 112.740290546223 5.83979676137591 39.8698795691179 9.89256247501035
Sim03_40 10.875 102.581495968743 2.64198601600946 17.2416631899841 7.56080934541797 40
Sim02_40 8.33333333333333 115.46455063276 6.08304168101366 46.0289015340239 9.53042289242249 40
Sim03_40 6 10.8888888888889 132.522304012153 4.23886811871575 35.4098091845382 16.0981210509872
Sim02_40 11.125 91.5228128650478 5.21893585502518 25.2932920653933 10.9085933774539 40
Sim02_40 9 104.892844114504 5.60151524926969 32.6087563001713 5.89485978430296 40
Sim02_40 8 102.364087503727 4.16165075565044 33.6521563443665 8.12496662696368 40
Sim02_40 9.5 94.4873597131403 3.21063321937632 26.4611683549707 8.26223006495901 40
Sim03_45 14.8181818181818 125.426261025436 4.02613361516672 11.5273511066975 5.43759955242523 45
Sim03_45 13.3 110.903638823888 3.36748263462921 8.03547221363334 3.57859671753138 45
Sim02_45 12.1428571428571 78.0381743555687 6.6724184656363 22.7168177705536 18.5759627224462 45
Sim03_45 12.7 89.6999230228755 1.87431072516404 13.3566753926329 8.97481377001945 45
Sim03_45 16.2 77.5317883608534 3.49412681091992 50.6491166625606 35.1566716831408 45
Sim01_45 13.9090909090909 59.6825730995388 3.88781199015544 54.0996453295521 39.6858003629338 45
Sim01_45 14.7777777777778 61.2835897483806 4.33238267025106 59.4657194791595 37.9095245428678 45
Sim01_45 12.5555555555556 65.3290452042516 5.30521843091741 42.9342199307297 32.0584242101879 45
Sim02_45 7.66666666666667 67.998358381511 1.6141629681282 28.9519758937775 25.7896675363076 45
Sim01_45 11.125 55.2420722067288 3.73311276596607 35.0708886386716 47.2041351474511 45
Sim03_45 6.5 11.4 101.551978434159 1.87096550887362 11.3900258683314 6.5366370054311
Sim03_45 14.625 145.80838081025 5.17454771016988 26.2084376990395 10.4032840214728 45
Sim01_45 11 54.7787588727739 3.03445250368849 36.4385924356484 59.7329650351153 45
Sim02_45 8.5 92.80702904949 4.34856111218096 37.5294059355279 16.7547075840509 45
Sim01_45 11.7 60.6735712921574 4.13397559903807 40.7043089597592 42.1222047308132 45
Sim03_45 9.5 69.1304378590895 1.18903817402342 12.4284906148662 13.8961907932831 45
Sim01_45 12.4 55.2221481007693 3.06376962470163 41.5433728233936 52.9391016983075 45
Sim02_50 10.9 121.082641992 5.86360024213478 39.5104446720433 9.88203866231156 50
Sim03_50 11 99.8492080503462 2.96429111462435 11.9818698954032 4.6691941464629 50
Sim03_50 15.5454545454545 92.3511584575134 3.53326951803572 33.5182896490858 22.4624179468822 50
Sim01_50 14.5 66.4597324887955 4.43564030878107 53.3215838239298 48.702565501991 50
Sim03_50 13.3636363636364 91.3923120073438 2.64721548830964 18.354750517503 14.5074827769762 50
Sim01_50 12.5 58.1586801013873 3.11239999516987 49.0981094964942 47.3405770578401 50
Sim03_50 13.9166666666667 138.779052233523 3.93636938488764 19.716582794604 11.6899368966242 50
Sim02_50 8.875 112.207726469939 4.69176504702697 42.9176898410646 11.1111864757054 50
Sim01_50 12 62.1789575427407 4.366751820093 42.7166487879162 56.4419024598503 50
Sim03_50 11.25 112.806585817443 1.99056752932829 17.8443775646197 11.2718114984174 50
Sim02_50 9 108.906998604082 4.38336000946459 35.7949939691347 8.48224294121967 50
Sim03_50 12.5833333333333 105.172227883855 3.21760262843432 15.2802589215902 6.82266324314002 50
Sim03_50 11 95.8335989477824 2.87005269632759 8.91562887797029 3.0017235216696 50
