core depth age sd offset N_offset
Sim01_10_163 14.6666666666667 71.6112388583313 8.23205511994004 31.5553699916269 10.2025335838141
Sim01_10_164 17 71.7106289041103 7.88334875688251 45.1502755939773 5.72729648102389
Sim01_10_165 12.5 61.7682463950604 10.8051889921682 49.8155554670882 33.019464748742
Sim01_10_166 23.5 53.4784548170101 10.9242018740153 157.501971929779 16.3904729425883
Sim01_10_167 14 55.3304124199432 4.64699831858469 32.4846435973221 6.99045735984164
Sim01_10_168 8 42.0639568617998 3.35390917433763 35.4817550999349 25.495335647242
Sim01_10_169 17 69.5977760103956 6.40705129391603 48.2245672584731 10.1799967882332
Sim01_10_170 17.75 74.589650211992 9.60808336517266 55.5431648326336 14.4171825261211
Sim01_10_171 15.5 60.8272328677257 6.36925572850435 54.8114066966762 21.8099101971138
Sim01_10_173 14.25 71.4568104832527 8.33689845971421 41.2241022398794 15.6851612877811
Sim01_10_174 13 52.7018761284001 4.99029387598902 40.5521773053861 32.5970936653871
Sim01_10_175 20.25 122.512640613034 120.556932111765 36.4254142337459 5.72713754820327
Sim01_10_176 integer(0) numeric(0) numeric(0) numeric(0) numeric(0)
Sim01_10_177 20.5 51.1174343218236 8.23273584209958 118.80197857394 18.6278485479605
Sim01_10_178 14.25 86.4780705976061 41.460723807421 37.3528938369298 17.6339277668646
Sim01_10_179 6.5 33.9620548118869 3.01444258746058 31.0823564612817 33.9217825939518
Sim01_10_180 15.5 57.0927737304256 4.75754891464612 45.2452065272509 12.1939896764942
Sim01_10_181 9 30.5888700290798 2.43009869586935 46.90485655197 34.2883267389574
Sim01_10_182 16.25 89.3554316252888 70.8391910396914 41.1138699862358 9.44183876824284
Sim01_10_183 16.5 72.9681650314775 13.1245307984461 65.2623347275304 16.3882981959002
Sim01_10_184 18.25 80.2450666978482 11.0060825315874 61.6247707539633 11.6462488990935
Sim01_10_185 9.5 39.1725721821739 2.6065930949764 38.8807466026531 20.1619971063116
Sim01_10_186 15.6666666666667 54.0892162431799 5.54738870336043 64.5742359136712 19.0804939913508
Sim01_10_197 15.25 92.6792278064793 29.3235257981599 45.372588804247 7.29218936183658
Sim01_10_198 16.5 75.3886586177587 8.20552200661853 41.6047160315803 6.75898489861047
Sim01_10_199 12.5 43.4605512322506 2.85227447697864 38.2035154019803 16.623961634899
Sim01_10_200 17.75 82.946655448472 11.1901081084337 61.4097462691144 11.146699567874
Sim01_10_201 25.25 111.815852224878 49.2438560902258 107.315415745478 5.85223968160932
Sim01_10_202 16 80.848689778171 13.0352642060565 37.3179953188153 11.0254152418968
Sim01_10_203 21.5 95.5941281562808 19.0820433220296 88.0662316416256 7.46860322607962
Sim01_10_204 23.25 114.430902098791 40.4779435983808 79.9138348971907 3.85644086847522
Sim01_10_205 14.75 68.3407323215234 12.5160396976819 44.8163542605277 22.9906019729508
Sim01_10_206 20.75 113.061290249439 58.5713213855777 47.4851180589167 5.93114434109657
Sim01_10_207 13.5 47.9227536269029 3.34303330418686 37.4905251957064 14.817408741808
Sim01_10_208 7 26.805632356011 1.78054475841998 43.4123810006129 44.440637446384
Sim01_10_209 12.5 70.5515722332768 7.61732579885258 38.3226085606415 7.12205275991257
Sim01_10_210 11.3333333333333 54.2257315880245 5.25492514789995 39.5311123944946 16.7908917246828
Sim01_10_211 13.3333333333333 50.9783179808334 4.59611716777868 52.2806004284412 24.0336047345583
Sim01_10_212 19.75 83.5544926779216 25.1662993154642 69.6011066870017 13.0492937660609
Sim01_10_213 20.5 98.0384513136464 25.1917862741463 62.366890553598 7.53162963907224
Sim01_10_214 19.25 95.4911946112216 18.5834804846308 70.9170756219859 6.59281049451684
Sim01_10_215 18.5 82.3865046726972 26.4615314778613 73.4630161933806 4.92490779879997
Sim01_10_216 16.25 66.8963229392159 6.39286668380759 49.1134595390435 16.485063766247
Sim01_10_218 23.75 81.9911502969426 34.3411176657422 121.156882389635 7.87384116225518
Sim01_10_222 21.75 101.686787048775 43.7943162722563 71.6917740458295 8.46153066317074
Sim01_10_224 15.75 82.1030280777128 15.3360143284766 56.146764858885 13.4310847117379
Sim01_10_226 12 60.4857916825178 4.59734295002505 39.8223222901802 14.8868390464243
Sim01_10_227 13.25 67.958748390184 6.39838933931518 40.4302261424713 16.9729435846586
Sim01_10_228 10 37.8812270201053 2.78732255249479 42.1402998184843 21.0721465236119
Sim01_10_230 23.25 98.6958684767225 22.9175890263349 102.042732856681 8.30725592175334
Sim01_10_231 14 70.7310060158013 9.57033177952679 53.4876430566215 17.8414764601082
Sim01_10_233 18.25 91.2711291896208 24.1332139927327 43.1442537793732 9.72529231606899
Sim01_10_234 16.5 72.0590881477384 11.7800586289163 55.5411909216688 16.7069521829956
Sim01_10_235 19.75 65.1145318992097 8.97245844840828 91.4396406579615 20.7133310473999
Sim01_10_236 18.5 71.2757179646813 13.5536843038705 70.5429048671807 16.2071211501053
