"" "CFCS" "CFCS_sd" "CIC" "CIC_sd" "CRS_serac" "CRS_serac_sd"
"Sim01_15_001" "30.1380422456465" "9.2264331219905" "24.2335095125928" "21.7935935740352" "10.5569200318537" "21.4382455682109"
"Sim01_15_002" "21.2740273672873" "8.9039030206277" "25.5162043984853" "14.3123417869218" "3.20554327096054" "15.5830556374373"
"Sim01_15_003" "50.59145185432" "5.7547174863906" "45.4433239635243" "9.09074300223103" "12.4742887959273" "9.7427784516503"
"Sim01_15_004" "29.3759156364908" "7.27579250282481" "13.7896865593502" "24.1261561785563" "6.73149199848532" "15.6574440715512"
"Sim01_15_005" "66.3794075124524" "2.08270575448439" "53.9435785698416" "11.2708422107485" "15.616784633667" "12.100104546171"
"Sim01_15_006" "80.8545662844888" "8.5709709240389" "73.2807097244571" "12.1207016078643" "23.2937195091066" "15.2258408530445"
"Sim01_15_008" "95.1059891024204" "22.4202923202601" "69.3056674945716" "19.4719249202091" "19.8751612791194" "23.9620470183925"
"Sim01_15_009" "16.1400907582806" "9.88198449551432" "37.8941510924517" "9.29803804262088" "14.9336492022867" "9.63430721424889"
"Sim01_15_011" "92.419708852458" "18.0583982127086" "71.7126715030202" "13.4903499643738" "29.9476565349465" "12.1990013936311"
"Sim01_15_012" "24.1827121404632" "11.0189900066363" "25.8132900478986" "17.2490552079867" "7.8489635465832" "17.1664715591045"
"Sim01_15_014" "58.3183168716148" "8.2892124011398" "49.3045253108793" "10.5091224426881" "12.3209852209533" "10.3050276439648"
"Sim01_15_015" "30.9248246000044" "9.4903851405987" "23.5337254368148" "16.0437520553271" "7.57763771589812" "16.1439849500613"
"Sim01_15_017" "47.4509693657376" "7.8023436357844" "32.1301802638212" "17.0888057328566" "6.52056049474016" "17.2835911387856"
"Sim01_15_019" "19.8015364348602" "8.6062226867295" "25.9397977621154" "9.71119049779127" "8.68043505193302" "10.4147338595974"
"Sim01_15_020" "34.963041784086" "7.35105771201021" "26.3208473024895" "11.2396393010252" "5.83173367676408" "12.1073430221655"
"Sim01_15_021" "23.3714987150016" "7.40079524416651" "18.9431234695735" "10.7863399850021" "9.10196850083723" "10.9450384884096"
"Sim01_15_022" "60.1938522718" "5.52229211900159" "42.6429701328" "13.8929903095862" "10.334230567766" "14.1336084835886"
"Sim01_15_023" "17.9032797398629" "11.0944309335576" "30.0756615184144" "22.1345451791908" "11.3673479191628" "14.0102237694497"
"Sim01_15_024" "20.0586262035393" "8.3076341209537" "34.33056404695" "27.8395246571557" "21.1392929056835" "27.0582816959127"
"Sim01_15_025" "29.4183230787576" "6.98567011211861" "22.6971152185687" "17.1759812751638" "7.69186076750159" "17.1664864726976"
"Sim01_15_026" "16.9650800179672" "13.7781894763464" "50.1240857974758" "22.1780443151565" "10.0139552050309" "21.3761824368606"
"Sim01_15_028" "16.74637569797" "5.25390112728389" "36.1916321070651" "12.3954505329988" "12.8417584576285" "12.9486190804942"
"Sim01_15_029" "46.3758655128548" "6.4079884859708" "35.355207325371" "13.810039876802" "8.37103309724933" "14.1025151251055"
"Sim01_15_030" "39.9544818724116" "5.3648366267748" "31.7691210533662" "9.07902425256684" "6.16294824421615" "9.83137502570978"
"Sim01_15_031" "20.3265226441486" "8.29492013258119" "30.8057625850993" "21.8880148092523" "9.69268274059145" "21.4255998298555"
"Sim01_15_032" "17.2377543332328" "7.77046691480801" "38.4970046183398" "12.4108154918504" "5.88449953784472" "13.1770499674534"
"Sim01_15_033" "19.929757275086" "9.4269668185802" "36.8323256179861" "10.661959539285" "6.19387848031045" "11.2553972607566"
"Sim01_15_034" "53.9800091405556" "2.3824259299266" "30.7496580452633" "20.4387909166112" "10.5695830792409" "20.3280390642313"
"Sim01_15_035" "63.5248404069344" "4.1485980900588" "47.713449854649" "13.7965324591991" "11.9352324067904" "14.0835566501677"
