"Information_percentage" "Accuracy" "Precision" "NormAccuracy" "CRS_Accuracy" "CRS_Precision" "CRS_NormAccuracy" "Names" "Simulation"
10 31.9361 53.3188 2.33965722762786 19.977939727311 23.2781128520568 5.99645848382907 "Sim01_10_044" "Sim01"
10 32.9667 79.5604 1.70742552299281 65.5375462052121 55.3830650816104 8.3781517138655 "Sim01_10_045" "Sim01"
10 29.023 48.5969 2.38887665674148 30.1717850577128 17.2443870759171 6.99863321900251 "Sim01_10_046" "Sim01"
10 21.5973 61.56195 1.52781274196064 51.9509379332965 83.0015301716093 4.90614443107396 "Sim01_10_047" "Sim01"
10 43.6501 116.9038 1.49670079444273 139.149886656064 244.831764064097 4.47875141384646 "Sim01_10_048" "Sim01"
10 47.7907 61.8796 3.08927013102864 24.1600193021378 26.6757154484733 3.62277358203272 "Sim01_10_049" "Sim01"
10 20.43315 39.0322 1.90101502437334 21.1199303118197 15.8863830825616 7.38609465182731 "Sim01_10_050" "Sim01"
10 39.42885 62.1516 2.57760111902343 9.46567681270836 27.7837026534943 4.13241308707687 "Sim01_10_051" "Sim01"
10 37.7094 46.7116 3.22912509954701 8.21807923681078 7.98587121904192 4.11630942267898 "Sim01_10_053" "Sim01"
10 26.08735 44.1275 2.28492424178739 24.0565713459243 16.9919227597834 7.2732202265041 "Sim01_10_054" "Sim01"
10 35.2166 71.0972 1.97776812379894 23.4586024440383 82.2190441937288 4.08768435216546 "Sim01_10_055" "Sim01"
10 32.1352 46.68325 2.74124228441187 30.5553446939616 18.8750547785849 7.4043472475539 "Sim01_10_056" "Sim01"
10 29.5674 44.1544 2.67854619245194 9.71592899705037 8.6985898055676 4.46781798623571 "Sim01_10_057" "Sim01"
10 27.8142 47.66315 2.20759569609776 20.4597437457771 19.7661590218401 6.58118039078885 "Sim01_10_058" "Sim01"
10 36.68335 110.78815 1.35427410466672 95.659040503628 376.796232905818 2.86422342016877 "Sim01_10_059" "Sim01"
10 45.5234 80.9859 2.30303283089658 23.2381284698275 162.856859886011 2.99489725520232 "Sim01_10_060" "Sim01"
10 5.25420000000001 49.2879 0.903257344933699 68.6593614144622 216.971148129528 3.18578285970562 "Sim01_10_061" "Sim01"
10 22.9533 63.385 1.5405535193438 45.701368677815 76.3524059222286 5.00043293396585 "Sim01_10_062" "Sim01"
10 18.6787 34.917 2.13978291376693 14.4271111082319 6.9237991921704 8.33479464542902 "Sim01_10_063" "Sim01"
10 33.92525 70.52215 1.96975361670076 48.147745795244 51.4305870874249 8.78115622244895 "Sim01_10_064" "Sim01"
10 32.39405 69.3021 1.90105755979671 56.7407639553156 50.3625920584865 10.4265380259723 "Sim01_10_065" "Sim01"
10 37.3289 63.2181 2.40471190711375 22.2445272133432 29.1990197311289 7.59228661967042 "Sim01_10_066" "Sim01"
10 31.8025 53.14315 2.34134791041934 19.977939727311 23.2781128520568 5.99645848382907 "Sim01_10_067" "Sim01"
10 44.3795 63.8974 2.77817250780157 3.98909306418039 15.4633099513174 1.03188594854248 "Sim01_10_068" "Sim01"
10 39.13215 73.36605 2.22788968884684 23.1309044538554 52.053678724917 3.60359316496179 "Sim01_10_069" "Sim01"
10 39.1684 61.38205 2.59393726919104 9.46567681270836 27.7837026534943 4.13241308707687 "Sim01_10_070" "Sim01"
10 38.2645 77.58365 2.09575434562977 23.9415989230914 314.624251973864 3.43722347587104 "Sim01_10_071" "Sim01"
10 36.55755 54.5937 2.66561406891154 15.5448643602925 19.8884786347004 3.74499846616616 "Sim01_10_072" "Sim01"
10 24.27445 42.9868 2.23146937810902 23.8028142512374 12.8477793304912 8.39001943588555 "Sim01_10_073" "Sim01"
10 40.2642 63.0646 2.57123178096438 24.3845893742949 35.9350835914152 11.2987280490191 "Sim01_10_075" "Sim01"
10 5.218 11.67355 1.82938219500917 27.9965818591617 13.3322885168776 9.68473898954196 "Sim01_10_076" "Sim01"
10 23.2753 38.9477 2.39041586537844 14.4752831569731 7.4930491784458 7.72731250642908 "Sim01_10_077" "Sim01"
10 43.1698 116.035 1.48986259816454 139.149886656064 244.831764064097 4.47875141384646 "Sim01_10_078" "Sim01"
10 30.453 56.37945 2.19626816271215 12.1115305471331 24.8610131251993 4.53371004212192 "Sim01_10_079" "Sim01"
10 38.48805 63.30145 2.49366323418078 6.06871762513834 29.8949833002933 2.13846303038397 "Sim01_10_081" "Sim01"
10 39.8058 92.46155 1.91344967083753 40.4706673811209 73.7055665206412 2.95693839165589 "Sim01_10_082" "Sim01"
10 39.321 47.532 3.30901287553648 2.87412798629393 8.18286008201268 1.40495032665254 "Sim01_10_083" "Sim01"
10 40.45015 61.4423 2.65222520348365 24.3845893742949 35.9350835914152 11.2987280490191 "Sim01_10_084" "Sim01"
10 44.2445 56.318 3.16618351458038 15.2919143667504 22.6001525573541 2.14188259691616 "Sim01_10_085" "Sim01"
10 42.1436 113.25595 1.4909626572038 153.820819228125 315.764758039023 3.25330389302229 "Sim01_10_087" "Sim01"
10 45.4148 81.2528 2.30038022199227 17.6728342615234 74.3509020111387 3.45447528222248 "Sim01_10_088" "Sim01"
10 30.82735 92.79725 1.45969206302096 70.3709483988645 80.5100993498773 6.04434810085108 "Sim01_10_089" "Sim01"
10 35.9451 60.3983 2.43291393758004 9.18703477662801 30.0006744001333 2.56937731936887 "Sim01_10_090" "Sim01"
10 43.5703 57.0184 3.06606913113921 15.3187083801333 24.0544824201453 1.91068454627764 "Sim01_10_091" "Sim01"
