"" "CFCS" "CFCS_sd" "CIC" "CIC_sd" "CRS_serac" "CRS_serac_sd"
"Sim01_10_036" "75.4524295702077" "4.69028685217305" "77.6706549271426" "37.3723973512844" "83.2640503624483" "18.6959118442586"
"Sim01_10_038" "62.3299596738779" "6.27283102495114" "87.0046042441124" "36.2743598539678" "88.77275230802" "15.2460669403216"
"Sim01_10_040" "138.2422752625" "22.9213218206092" "68.6083268710373" "95.9932273289162" "90.8276240347327" "34.0820594785985"
"Sim01_10_041" "74.9287636799398" "7.84790613002735" "78.1788650619232" "37.6871948871368" "86.8248070476859" "19.6186088058074"
"Sim01_10_043" "77.473687284507" "1.24435959351803" "99.7438624019971" "97.7126685509131" "121.287049843295" "31.8232989689075"
"Sim01_10_045" "118.506070976547" "4.39246913551179" "67.1560714650919" "37.7271122067723" "72.6421714101148" "20.5687336646198"
"Sim01_10_047" "74.1161414506578" "5.84295198411682" "71.9749358649408" "39.0966666678147" "89.0755099191169" "21.991258882998"
"Sim01_10_049" "56.6037900616633" "1.40842531023445" "85.3316456985327" "47.6934402795283" "107.7089845719" "28.4621286367463"
"Sim01_10_050" "70.6612359532509" "3.58223977083255" "94.7415384827838" "36.5773846673337" "95.1689585488486" "14.8156340945344"
"Sim01_10_051" "73.2299206514519" "4.82177620101941" "77.966910846106" "36.2492422135127" "78.2032848412179" "16.3481368602545"
"Sim01_10_053" "60.574054757056" "3.52045851602318" "87.876467746864" "36.3274838470753" "86.2443410856552" "15.4443479671828"
"Sim01_10_054" "67.8206421145268" "3.0172672719044" "92.9205782375249" "36.516556742435" "94.6569030067689" "14.8535947679496"
"Sim01_10_055" "71.7109145389939" "2.689132813767" "75.3404793799126" "40.4548447319189" "85.8044596076065" "22.1165677434898"
"Sim01_10_056" "67.0040315616396" "1.26047964448764" "91.6119466064729" "36.5082994709459" "94.0602845310097" "14.9045943385281"
"Sim01_10_058" "66.0442414385464" "5.52484710063334" "89.3540295593154" "36.4302018284104" "91.6447090839435" "15.0121220949889"
"Sim01_10_059" "110.376290179833" "6.19003417209728" "62.2767121220239" "47.5467742146513" "75.5512431926335" "31.2580277704853"
"Sim01_10_060" "102.117689665097" "15.0768236980666" "68.1911302076448" "40.2296774842415" "77.01512903448" "23.0982480029688"
"Sim01_10_061" "81.8656230718259" "0.288295808268515" "82.577153234878" "97.8366160371278" "110.933918172791" "45.2166414370464"
"Sim01_10_062" "73.5811471502284" "8.4929392414216" "71.7246461257417" "38.7297504867012" "87.0839530613948" "21.1150673650481"
"Sim01_10_063" "64.278770434299" "7.18809736025725" "87.1214382507011" "36.3035534014015" "89.483127554409" "15.1749611219272"
"Sim01_10_064" "103.899204006282" "2.41865324542693" "69.154430274623" "37.3954150262352" "73.2097910192731" "19.4705333470828"
"Sim01_10_066" "81.7176569098661" "4.16328634542885" "75.9124941522138" "36.330266929514" "76.0672862283355" "16.748160104132"
"Sim01_10_067" "64.3684344209924" "6.78830809284379" "83.2828608282113" "36.3136923746252" "86.7803117450745" "15.3665902721101"
"Sim01_10_068" "80.9390219913667" "13.5544276785615" "74.3358291864054" "37.0379346638145" "84.7660017598841" "19.3021801068387"
"Sim01_10_070" "73.2299206514519" "4.82177620101941" "77.966910846106" "36.2492422135127" "78.2032848412179" "16.3481368602545"
"Sim01_10_071" "72.8628859079347" "6.24187536465335" "78.7772565075913" "39.069312242536" "94.8257842484172" "22.0886859726934"
"Sim01_10_073" "70.1765045386861" "1.63608575227546" "93.3101825961431" "36.5728555140152" "95.9454030531597" "14.7798038151247"
"Sim01_10_075" "81.4974770175495" "1.41394272933984" "81.7728875954249" "36.3545243544018" "86.9346746446441" "18.6655219591865"
"Sim01_10_077" "65.6384724283818" "2.1115160113643" "91.8446036812013" "36.477507086661" "93.8805386477856" "14.9263213972127"
"Sim01_10_079" "65.294624956367" "9.01780440011587" "80.8922330823235" "36.2136360587249" "83.4531999254631" "15.7801117704055"
"Sim01_10_081" "72.7560335604765" "6.66208394063019" "77.035343169182" "36.2780498453597" "78.8296196523245" "16.5632152631716"
"Sim01_10_083" "60.2258338894345" "1.59192699028085" "88.6121334897068" "36.383199840079" "87.8829596573366" "15.3246886401323"
"Sim01_10_084" "81.4974770175495" "1.41394272933984" "81.7728875954249" "36.3545243544018" "86.9346746446441" "18.6655219591865"
"Sim01_10_085" "61.4470164060157" "2.46128342747961" "83.8859747755155" "36.2928436454835" "83.60944029184" "15.6830500228924"
"Sim01_10_087" "302.55782172808" "92.1467874757425" "62.306443017835" "92.3480271861664" "74.3446259858055" "42.8958033692224"
"Sim01_10_088" "72.5910962218607" "0.678940069166537" "81.8341721868235" "40.4267750129982" "88.9392977987014" "22.2596699469544"
"Sim01_10_089" "110.905303432355" "13.2549253742762" "66.1339339252136" "38.9800390650799" "79.6204184887238" "22.9375604917973"
"Sim01_10_090" "65.9772217042451" "8.95284034415218" "79.2903969749613" "36.2299259613616" "81.38066601468" "16.0891647471709"
"Sim01_10_092" "68.6988944227483" "10.5542270711704" "81.7867522756845" "36.3234683828865" "86.7544342875269" "15.3843478916161"
"Sim01_10_094" "76.8597616092815" "7.78764819871197" "77.6074708969037" "37.6831332274937" "86.2686338887538" "19.6658825458918"
"Sim01_10_096" "76.940403723113" "8.2303535096076" "80.6426706179966" "38.6903095478734" "93.1489676379179" "21.2703326800853"
"Sim01_10_098" "117.768134134077" "14.4234832186387" "64.9838949981302" "38.9945082687613" "77.7959630000483" "23.1281721807858"
"Sim01_10_100" "67.6044845709803" "8.93707735719684" "77.9580433501124" "36.274672667721" "80.7413814045652" "16.4133685284441"
"Sim01_15_001" "66.1926756232112" "6.13202939799983" "82.8306511971145" "24.7276181678927" "83.8727754239828" "10.5666478829545"
"Sim01_15_002" "73.1593739574579" "8.08200428026204" "76.2451623882849" "27.7061195009789" "82.3543225393214" "15.234194277136"
"Sim01_15_003" "86.4899416648572" "7.10380876525127" "73.6659067200236" "26.9343120805898" "80.7980801059017" "15.7122348355192"
"Sim01_15_004" "67.8014877703859" "6.39209300855436" "86.5820976457715" "67.814882155069" "87.4948819159052" "24.8845023483701"
"Sim01_15_005" "108.558799742012" "3.09735727589996" "72.5962276372725" "26.189741713882" "70.5797603041007" "17.6013018346518"
"Sim01_15_006" "169.580189807738" "15.4742868719078" "70.2396047550054" "36.9377639764139" "76.3830149064857" "37.3334803713211"
"Sim01_15_008" "194.040733228988" "38.9001653078013" "62.2725723338233" "86.7341598690636" "81.9585235585509" "71.1854230319893"
"Sim01_15_009" "75.2682061212286" "9.19422733282306" "70.4167693682317" "27.0499427658582" "84.0291823848324" "15.5234405206"
"Sim01_15_011" "186.39397059727" "31.3180612360257" "62.7101561653425" "65.7038838820973" "74.6674465411731" "38.0102125900218"
"Sim01_15_012" "65.8009206868846" "9.60629898014368" "74.1414666626224" "24.8216840035303" "78.77113900662" "13.6539228768754"
"Sim01_15_014" "105.334483268151" "12.0399872432842" "65.5326982157944" "35.8023820344935" "83.4217479142359" "23.5678943732271"
"Sim01_15_015" "71.3726302430788" "8.67275195925406" "74.4507297638635" "24.7800758442511" "79.6707131019435" "11.4538817029022"
"Sim01_15_017" "74.994451003602" "7.69642946878267" "76.2266234640433" "42.1456922109891" "91.6471388034442" "26.5880539528531"
"Sim01_15_019" "79.1703510392205" "10.1685831129369" "72.0204021773885" "26.8606143435419" "85.8721640565421" "15.3718060197974"
"Sim01_15_020" "79.3482668443685" "8.39151511124846" "73.1461017693032" "25.8972779281406" "80.7866030938783" "13.9203774013321"
"Sim01_15_021" "81.0320156019834" "8.94926932602349" "72.6504697672468" "26.5980493434794" "86.1959040189686" "14.3171036765798"
"Sim01_15_022" "89.5371176056417" "7.20375927062015" "68.869073848616" "25.7854782006716" "71.5535202969834" "15.045771103098"
"Sim01_15_023" "69.7129764930464" "9.38759540531867" "80.2488269807801" "67.3451636421798" "85.1720622773686" "24.2660438569027"
"Sim01_15_024" "71.9821711111322" "2.60731901642157" "96.0280344432999" "24.9494418922142" "92.135287946809" "9.95480561378673"
"Sim01_15_025" "67.1074496097662" "4.83623315454335" "80.9778451279844" "24.650139190446" "82.2034807691128" "10.8681714200622"
"Sim01_15_026" "64.5903122720331" "9.00881619607232" "96.3926425444061" "24.9893377741184" "83.9297506789813" "12.8800551383656"
"Sim01_15_028" "72.1262933895108" "5.46476003540218" "76.6674705484161" "26.7677162909472" "87.1015425834193" "21.1018748989791"
"Sim01_15_029" "72.3011260883771" "6.58544047481275" "78.1514801390586" "24.8028083472416" "76.7244712791428" "11.7376616912746"
"Sim01_15_030" "83.0242661704161" "6.56357301590697" "70.8213077631093" "27.4926852792774" "83.2820041544048" "16.3821343540882"
"Sim01_15_031" "64.7586574624509" "4.46649545600545" "84.9789380170123" "24.7844233107466" "85.006502214101" "12.7916200454687"
"Sim01_15_032" "74.0767342245016" "5.69037269453634" "82.1062625322053" "25.8505186325777" "87.6738343288948" "13.0243167395421"
"Sim01_15_033" "75.600001874486" "8.78883368009164" "79.9970336978457" "26.5296153320298" "88.9197930636865" "14.3761979534541"
"Sim01_15_034" "65.19230915714" "2.21443435794481" "83.3951414693344" "24.7166181377074" "78.6676304041076" "13.3727489915172"
"Sim01_15_035" "91.687218002726" "5.39849623257614" "76.4138802832969" "25.0373121025911" "71.7199830212848" "14.8593144910757"
"Sim01_15_036" "68.0037100781471" "5.71089868358691" "68.7196422936809" "42.4256030561316" "96.192677855949" "51.8291573683812"
"Sim01_15_037" "88.3902580530278" "5.00070920288106" "71.3160673808981" "28.1442868083717" "82.2676312505828" "17.3579731970681"
"Sim01_15_039" "87.4189636547521" "6.39516737786142" "85.8178758186861" "69.6333886152296" "91.3887011499559" "29.3218373007491"
"Sim01_15_040" "63.4482054253944" "3.21714685056166" "82.1001225665174" "24.6729820772207" "79.9825925836773" "10.8214067383047"
"Sim01_15_041" "120.238108073224" "17.2078784454249" "66.4069878675179" "34.2434662909775" "76.4486669524107" "22.5813090025863"
"Sim01_15_042" "73.6051555209734" "4.31851946978857" "78.9683752905662" "42.9594584104371" "93.1502198143948" "26.8516809466982"
"Sim01_15_043" "83.9550923572312" "10.4923994125686" "69.7366945129523" "27.2463595099213" "79.2933019618438" "17.3538721630203"
"Sim01_15_044" "74.9321303667235" "9.25142555501684" "77.4764803297685" "42.1372914109598" "94.8337364034351" "26.3507789603512"
"Sim01_15_045" "74.7566474003081" "5.60896839210765" "78.6135639108472" "33.0276044965168" "94.1294676878658" "19.7546912881275"
"Sim01_15_047" "101.571824671212" "14.4065773734322" "82.623666344021" "66.9142149908985" "90.5050991303807" "26.6202695195565"
"Sim01_15_048" "74.8625604235368" "0.307086975124104" "79.1575943850006" "33.3131419147469" "100.640004789203" "28.2067710693815"
"Sim01_15_049" "70.9016538830643" "8.45970854749185" "70.6229765061484" "25.7533345893659" "75.5257657089186" "14.7822345839505"
"Sim01_15_050" "70.5124436458197" "4.38718034808123" "81.1286665909932" "26.7853712150396" "86.66631723965" "18.8239922711055"
"Sim01_15_052" "125.445784028265" "11.5687156339436" "71.9225932391842" "67.9032376950692" "76.4748553115141" "26.880588962074"
"Sim01_15_053" "112.438818614784" "14.6792437041735" "73.5574530041155" "28.1329185975343" "70.6075781439555" "20.2969942828828"
"Sim01_15_054" "73.6386788026504" "9.16260198553506" "78.3823522367129" "42.5704840687735" "95.4987274517641" "26.4378334822512"
"Sim01_15_056" "70.1390380250304" "1.09680763750764" "92.0946642831523" "24.9303228474149" "95.9440058798035" "14.7803579861813"
"Sim01_15_057" "61.945547759327" "2.67016013247872" "82.2267549725097" "24.7293984552214" "81.3802179819414" "10.7328405413863"
"Sim01_15_058" "76.2467426872384" "6.69982128350364" "79.0611072411524" "26.494614310811" "86.2143534969655" "14.6039904857441"
"Sim01_15_060" "63.0484531929401" "3.47647702411656" "84.7930903541288" "44.1615482198754" "99.9462417008394" "27.1110694292165"
"Sim01_15_062" "73.4176420396713" "5.11808460482888" "80.1879950718072" "27.6812567095048" "85.0889646980872" "15.1090118948379"
"Sim01_15_063" "79.4992099251758" "6.90759700217207" "71.7194014659772" "26.4954698338019" "82.1032509173114" "14.4933845155885"
"Sim01_15_064" "65.2385474864455" "7.22947613361474" "87.6952984040168" "67.618814306059" "89.5271185972689" "23.3134349625473"
"Sim01_15_066" "65.0677318046325" "2.35962029494291" "80.0268570392598" "24.7635817497791" "78.5693147680896" "13.3863776683591"
"Sim01_15_067" "96.2432816416675" "3.11145712187703" "64.2296342523305" "41.4320225122189" "88.308789461091" "34.276324741319"
"Sim01_15_069" "63.0484531929401" "3.47647702411656" "84.7930903541288" "44.1615482198754" "99.9462417008394" "27.1110694292165"
"Sim01_15_070" "70.3308391480712" "10.1431218954881" "83.1291963996747" "24.8059653375941" "81.7587392450724" "10.8493553206842"
"Sim01_15_071" "77.0591894563155" "8.06950743701793" "76.1023937640663" "27.6577464685874" "82.4325668098759" "15.5550510622014"
"Sim01_15_073" "123.465057734301" "5.08433977085382" "71.2652074237047" "26.4104212387894" "69.7182614077941" "15.2270120741358"
"Sim01_15_074" "77.3556209975336" "3.46721351583722" "77.4368320367115" "33.5428603350799" "94.0836968969969" "20.6405627546005"
"Sim01_15_076" "89.8076978483026" "6.27034707424697" "71.5633918775553" "25.9646079683475" "75.1436645312876" "14.1321750923884"
"Sim01_15_077" "69.8325122315579" "9.18411743233104" "86.6285201278863" "67.3104748151871" "88.1544553066428" "24.3913874392561"
"Sim01_15_078" "62.5867383730807" "6.72454680057722" "84.4955197420191" "33.1389866357729" "97.2749037339579" "23.7741314898683"
"Sim01_15_079" "109.103068232151" "15.1070122766259" "64.2426620079533" "29.8224974597684" "71.1598870305335" "18.5416894756788"
"Sim01_15_080" "65.5354736490607" "12.0505857084054" "67.8534369969348" "26.3684455734268" "72.4007517613528" "17.0851212986594"
"Sim01_15_082" "74.6547449340864" "1.22984478928825" "78.2081459054892" "43.0222577640423" "89.8445981470122" "33.2888596810058"
"Sim01_15_084" "80.5060027188191" "5.56217791630632" "76.7602465500088" "40.5128507798783" "101.535164260269" "28.1890734474307"
"Sim01_15_086" "83.1047546507755" "7.90950851812413" "73.0368899485784" "27.6998944206864" "79.2692398642441" "16.1088446410336"
"Sim01_15_088" "72.2860787134212" "4.42703118497065" "81.0074488579417" "25.7557412178215" "81.469636713711" "16.5279495658836"
